Depth (ft),SP,DT (edited)
11202,-28.38037526,119.6733068
11202.5,-28.38185812,119.121846
11203,-28.38349004,118.5703851
11203.5,-28.3814303,118.0189243
11204,-28.37473247,117.4674635
11204.5,-28.37020542,116.9160027
11205,-28.37787689,116.3645418
11205.5,-28.39382204,115.813081
11206,-28.39625896,114.940239
11206.5,-28.36868333,114.940239
11207,-28.33401254,119.9867198
11207.5,-28.35859767,119.0554449
11208,-28.50663472,118.2031873
11208.5,-28.78150731,117.3509296
11209,-29.11667931,116.498672
11209.5,-29.43347361,115.6464143
11210,-29.7092911,114.7941567
11210.5,-29.98377103,113.9418991
11211,-30.29692214,113.0896414
11211.5,-30.62869212,112.2373838
11212,-30.90684462,110.9561753
11212.5,-31.07185592,110.9561753
11213,-31.12888523,110.9561753
11213.5,-31.13646116,112.9933599
11214,-31.15278573,114.731297
11214.5,-31.19700179,116.4692342
11215,-31.25382154,117.8618858
11215.5,-31.3021836,116.9805224
11216,-31.33532294,116.2452413
11216.5,-31.36250625,115.5099602
11217,-31.3977104,114.940239
11217.5,-31.44871805,116.7994688
11218,-31.50615051,115.8964143
11218.5,-31.54161498,114.8937583
11219,-31.52314321,113.8911023
11219.5,-31.44026033,112.8884462
11220,-31.31347024,111.8857902
11220.5,-31.17389486,110.8831341
11221,-31.03637668,109.8804781
11221.5,-30.89482295,108.8313413
11222,-30.74789535,110.934927
11222.5,-30.62168356,113.1407703
11223,-30.55892348,114.6746348
11223.5,-30.58339561,113.6281541
11224,-30.67783521,112.5498008
11224.5,-30.79861828,112.5498008
11225,-30.91034154,113.6564852
11225.5,-31.00560157,114.3249225
11226,-31.09625184,115.2058433
11226.5,-31.19326527,115.0690571
11227,-31.29704782,114.8685259
11227.5,-31.40110179,114.7888614
11228,-31.50105992,114.3243283
11228.5,-31.59769936,114.4288095
11229,-31.694841,113.8936557
11229.5,-31.79635963,114.0513312
11230,-31.9018534,117.1695483
11230.5,-32.00438102,118.2831628
11231,-32.09719977,119.1330303
11231.5,-32.18484743,120.3341297
11232,-32.28408456,119.334426
11232.5,-32.40600535,118.6005678
11233,-32.531846,117.7803256
11233.5,-32.60658395,116.9564634
11234,-32.56574161,116.2030417
11234.5,-32.38235942,114.9028565
11235,-32.09752607,114.9828249
11235.5,-31.80945174,115.9705577
11236,-31.62540238,116.8022139
11236.5,-31.61010537,117.8116633
11237,-31.76052485,117.9152488
11237.5,-32.01376164,117.6646335
11238,-32.27736407,117.6566563
11238.5,-32.46698185,117.4749659
11239,-32.53630133,117.4408359
11239.5,-32.48582088,117.308502
11240,-32.3476554,116.8368125
11240.5,-32.16107728,116.3876312
11241,-31.95955319,115.974821
11241.5,-31.77402036,115.5420536
11242,-31.63649718,115.1200801
11242.5,-31.57015678,114.688449
11243,-31.5731441,114.2659363
11243.5,-31.61552486,113.8398074
11244,-31.66016935,113.4136786
11244.5,-31.68875805,112.8154051
11245,-31.70680045,112.8154051
11245.5,-31.72722908,114.1756308
11246,-31.75478526,115.0278885
11246.5,-31.78493803,115.8801461
11247,-31.81303765,116.7324037
11247.5,-31.83882064,117.3306773
11248,-31.86387987,116.4847278
11248.5,-31.88876135,115.8330013
11249,-31.91428208,115.1812749
11249.5,-31.94243852,114.5295485
11250,-31.97293081,113.8778221
11250.5,-32.0007462,116.2841966
11251,-32.02076322,120.252324
11251.5,-32.03847063,120.252324
11252,-32.07169928,120.252324
11252.5,-32.13492984,119.772023
11253,-32.22267624,119.3041169
11253.5,-32.31429427,118.8362107
11254,-32.40172413,118.3930943
11254.5,-32.51035555,116
11255,-32.68383507,113.727313
11255.5,-32.94359928,111.4546259
11256,-33.26718217,109.3625498
11256.5,-33.61115181,110.6613546
11257,-33.9499744,112.5498008
11257.5,-34.28954217,112.5498008
11258,-34.63570736,111.689243
11258.5,-34.96186392,111.0876494
11259,-35.21505761,110.1593626
11259.5,-35.35857247,110.1593626
11260,-35.41058895,112.7888446
11260.5,-35.43532315,114.5936255
11261,-35.49148882,116.3984064
11261.5,-35.57981231,118.2031873
11262,-35.64900331,119.7211155
11262.5,-35.66244843,119.4887118
11263,-35.66368928,119.2881806
11263.5,-35.76693443,119.0876494
11264,-36.07117069,118.8871182
11264.5,-36.58150742,118.6586985
11265,-37.21221309,115.5942895
11265.5,-37.86623448,112.0348606
11266,-38.48475046,108.4754316
11266.5,-39.02405986,104.9160027
11267,-39.41334889,99.80079681
11267.5,-39.56572488,99.80079681
11268,-39.46747506,105.3784861
11268.5,-39.22465978,104.7162461
11269,-38.98947297,104.1814962
11269.5,-38.82236076,103.6467464
11270,-38.6468293,103.2536521
11270.5,-38.36965831,110.8632138
